--- model size ---
model: 55,192,704
======= start training =======
epoch|batch_idx/num_batches|output_dir|batch/s|lr|time|step
epoch: 104 |   5/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.006 | time: 0:04:23.1 | step: 630
epoch: 106 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.026 | time: 0:04:27.5 | step: 640
epoch: 108 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.019 | time: 0:04:31.6 | step: 650
epoch: 109 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.055 | time: 0:04:35.5 | step: 660
epoch: 111 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.014 | time: 0:04:40.0 | step: 670
epoch: 113 |   1/  6 | logs/44k/diffusion | batch/s: 2.45 | lr: 0.0001 | loss: 0.012 | time: 0:04:44.1 | step: 680
epoch: 114 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.053 | time: 0:04:48.1 | step: 690
epoch: 116 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.011 | time: 0:04:52.6 | step: 700
epoch: 118 |   1/  6 | logs/44k/diffusion | batch/s: 2.46 | lr: 0.0001 | loss: 0.018 | time: 0:04:56.7 | step: 710
epoch: 119 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.001 | time: 0:05:00.6 | step: 720
epoch: 121 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.024 | time: 0:05:05.1 | step: 730
epoch: 123 |   1/  6 | logs/44k/diffusion | batch/s: 2.45 | lr: 0.0001 | loss: 0.020 | time: 0:05:09.2 | step: 740
epoch: 124 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.004 | time: 0:05:13.2 | step: 750
epoch: 126 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.036 | time: 0:05:17.7 | step: 760
epoch: 128 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.019 | time: 0:05:21.7 | step: 770
epoch: 129 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.006 | time: 0:05:25.7 | step: 780
epoch: 131 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.010 | time: 0:05:30.2 | step: 790
epoch: 133 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.023 | time: 0:05:34.2 | step: 800
epoch: 134 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.002 | time: 0:05:38.2 | step: 810
epoch: 136 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.034 | time: 0:05:42.6 | step: 820
epoch: 138 |   1/  6 | logs/44k/diffusion | batch/s: 2.50 | lr: 0.0001 | loss: 0.021 | time: 0:05:46.6 | step: 830
epoch: 139 |   5/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.031 | time: 0:05:50.6 | step: 840
epoch: 141 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.012 | time: 0:05:55.1 | step: 850
epoch: 143 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.020 | time: 0:05:59.1 | step: 860
epoch: 144 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.003 | time: 0:06:03.1 | step: 870
epoch: 146 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.008 | time: 0:06:07.6 | step: 880
epoch: 148 |   1/  6 | logs/44k/diffusion | batch/s: 2.44 | lr: 0.0001 | loss: 0.030 | time: 0:06:11.7 | step: 890
epoch: 149 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.011 | time: 0:06:15.6 | step: 900
